Table,Field Name,Data Type,Priority,What It Is,Key Use Cases
ZPERSON,Z_PK,INTEGER,VERY LOW,Internal database ID,Internal use only
ZPERSON,ZDISPLAYNAME,VARCHAR,CRITICAL,Short name (e.g. 'Kabir' 'Urmila'),Display in UI
ZPERSON,ZFULLNAME,VARCHAR,CRITICAL,Full name (e.g. 'Urmila Mandapaka'),Attribution and search
ZPERSON,ZFACECOUNT,INTEGER,CRITICAL,Number of photos containing this person,"Sort by frequency, statistics, 'Most photographed' lists"
ZPERSON,ZTYPE,INTEGER,HIGH,"0=unnamed/group, 1=identified person","Filter identified vs unknown faces, confidence level"
ZPERSON,ZVERIFIEDTYPE,INTEGER,MEDIUM,"0=unverified/suggested, 1=verified/confirmed by user","Filter only confirmed identities, training data quality"
ZPERSON,ZPERSONUUID,VARCHAR,HIGH,"Unique identifier for this person (syncs across devices)","Track person across devices, deduplication"
ZPERSON,ZGENDERTYPE,INTEGER,LOW,"Inferred gender from ML analysis (0=not detected, 1=male, 2=female, etc)","Can be used for filtering (optional)"
ZPERSON,ZAGETYPE,INTEGER,LOW,"Estimated age group from ML (baby, child, adult, senior)","Age-based grouping/filtering"
ZPERSON,ZMANUALORDER,INTEGER,LOW,"User's manual ordering of favorite people","Display favorites first in People album"
ZPERSON,ZSYNDICATIONSTATE,INTEGER,VERY LOW,"Cloud sync state","Internal Apple sync tracking"
ZPERSON,ZSUGGESTEDFORCLIENTTYPE,INTEGER,VERY LOW,"Whether suggested to user to name","Internal Apple suggestion tracking"
ZPERSON,ZCONTACTMATCHINGDICTIONARY,BLOB,LOW,"Contact info if matched to phone contacts","Link to Contacts app"
ZDETECTEDFACE,Z_PK,INTEGER,VERY LOW,Internal database ID,Internal use
ZDETECTEDFACE,ZPERSONFORFACE,INTEGER,CRITICAL,"Link to ZPERSON.Z_PK (which person is in this face?)","Join to get person name from photo"
ZDETECTEDFACE,ZASSETFORFACE,INTEGER,CRITICAL,"Link to ZASSET.Z_PK (which photo contains this face?)","Join to get all photos of a person"
ZDETECTEDFACE,ZQUALITY,FLOAT,HIGH,"Face detection quality score (0.0-1.0)","Higher = clearer face, better for cropping"
ZDETECTEDFACE,ZMANUAL,INTEGER,MEDIUM,"0=auto-detected by ML, 1=manually marked by user","Distinguish auto vs manual annotations"
ZDETECTEDFACE,ZHIDDEN,INTEGER,MEDIUM,"0=visible, 1=user hid this face","Respect user privacy settings"
ZDETECTEDFACE,ZCENTERX,FLOAT,MEDIUM,"X coordinate of face center (0.0-1.0 normalized)","Face crop, thumbnail generation"
ZDETECTEDFACE,ZCENTERY,FLOAT,MEDIUM,"Y coordinate of face center (0.0-1.0 normalized)","Face crop, thumbnail generation"
ZDETECTEDFACE,ZSIZE,FLOAT,MEDIUM,"Face size (0.0-1.0 relative to image)","Filter by face prominence"
ZDETECTEDFACE,ZHASSMILE,INTEGER,LOW,"0=no smile, 1=smile detected","Filter happy photos"
ZDETECTEDFACE,ZEYESSTATE,INTEGER,LOW,"Eyes open/closed state","Filter blink detection"
ZDETECTEDFACE,ZFACEEXPRESSIONTYPE,INTEGER,LOW,"Expression type (neutral, happy, sad, etc)","Filter by emotional expression"
ZDETECTEDFACE,ZGENDERTYPE,INTEGER,LOW,"Inferred gender","Gender-based filtering"
ZDETECTEDFACE,ZGAZEANGLE,FLOAT,LOW,"Gaze direction angle","Looking at camera vs away"
ZDETECTEDFACE,ZGLASSESTYPE,INTEGER,VERY LOW,"Wearing glasses? (0=none, 1=sunglasses, 2=regular)","Accessory detection"
ZDETECTEDFACE,ZHASFACEMASK,INTEGER,LOW,"0=no mask, 1=face mask detected","Detect COVID-era photos"
ZDETECTEDFACE,ZHAIRCOLORTYPE,INTEGER,VERY LOW,"Hair color detected","Appearance-based grouping"
ZDETECTEDFACE,ZHAIRTYPE,INTEGER,VERY LOW,"Hair type (straight, curly, wavy, etc)","Appearance-based grouping"
ZDETECTEDFACE,ZLIPMAKEUPTYPE,INTEGER,VERY LOW,"Lipstick/makeup detected","Appearance detection"
ZDETECTEDFACE,ZSKINTONETYPE,INTEGER,VERY LOW,"Skin tone detected","Appearance-based features"
ZDETECTEDFACE,ZHEADGEARTYPE,INTEGER,LOW,"Hat/headwear detected (0=none, 1=cap, 2=hat, etc)","Accessory detection"
ZDETECTEDFACE,ZPOSETYPE,INTEGER,LOW,"Head pose (0=frontal, 1=profile, 2=partial, etc)","Filter clear vs angled faces"
ZDETECTEDFACE,ZCONFIRMEDFACECROPGENERATIONSTATE,INTEGER,VERY LOW,"Face crop image generation status","Track thumbnail generation"
ZDETECTEDFACE,ZFACECROP,INTEGER,VERY LOW,"Reference to face crop image record","Link to cropped face thumbnail"
ZPERSONREFERENCE,Z_PK,INTEGER,VERY LOW,Internal ID,Internal use
ZPERSONREFERENCE,ZPERSONREFERENCE_SOURCE,INTEGER,MEDIUM,"Link to source person (in case of merges)","Track person relationship history"
ZPERSONREFERENCE,ZPERSONREFERENCE_DESTINATION,INTEGER,MEDIUM,"Link to merged-into person","Show consolidation history"
